编号,经度,纬度,所属行政区,维护联系人,联系人联系方式,联系人所属部门,监控点名称,使用部门,公安业务,摄像机类型,应用场所,分辨率,是否有拾音器,监控点方向,是否有PTZ,安装位置,是否启用,建设类型,初装日期,监控点描述,制造商,监控点型号,接入汇接点名称,汇接点负责人,监控点IP,位置类型,所属行业,警种,使用性质,监控点所属设备名称,监控点主要作用,标注更新日期,标注更新人,20位编码,32位编码,监控点被访问次数,监控点通道号
53,116.5717,34.1133,,,,,房管局门口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.12.119,室内,,,,房管局门口,,,,,55110000000000000011200032700000,0,0
54,116.5712,34.1112,,,,,淮海路与行政大道:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.12.118,室内,,,,淮海路与行政大道,,,,,55110000000000000011200032500000,0,0
55,116.5649,34.1048,,,,,左岸花园后街:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.12.117,室内,,,,左岸花园后街,,,,,55110000000000000011200032400000,0,0
56,116.5631,34.1109,,,,,淮海路与中山路（路南）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.11.119,室内,,,,淮海路与中山路（路南）,,,,,55110000000000000011200032300000,0,0
57,116.5627,34.1057,,,,,大亚湾对面:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.11.116,室内,,,,交通路（南关一巷）,,,,,55110000000000000011200032200000,0,0
58,116.5632,34.1015,,,,,中山路与世纪大道（路南）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.11.113,室内,,,,中山路与世纪大道（路南）,,,,,55110000000000000011200032100000,0,0
59,116.5634,34.0944,,,,,汽车五队:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.11.108,室内,,,,中山路南段（汽车五队）,,,,,55110000000000000011200032000000,0,0
60,117.0091,33.63302,,,,,TH11韩池子北路与道东大街东南角南30米看西北:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西北,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,TH11韩池子北路与道东大街东南角南30米看西北,,,,,55040000000000000011200022000000,1,0
61,116.99583,33.63254,,,,,DD28汴河路道东派出所对面灯杆看派出所大门:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,DD28汴河路道东派出所对面灯杆看派出所大门,,,,,55040000000000000011200021900000,1,0
62,117.01504,33.68147,,,,,BH02杨圩村前屯庄西头电信箱北40米路西看南:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向南,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,BH02杨圩村前屯庄西头电信箱北40米路西看南,,,,,55040000000000000011200021800000,2,0
63,116.98216,33.63883,,,,,YQ068环城东路与东关大街东北角东环公园看西:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,YQ068环城东路与东关大街东北角东环公园看西,,,,,55030000000000000011200065400000,4,0
64,116.98216,33.63883,,,,,YQ067环城东路与东关大街东北角东环公园看公园（球）:1,110,,球机,"重要交通路口,",高清(720P-1080P),否,,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,YQ067环城东路与东关大街东北角东环公园看公园（球）,,,,,55030000000000000011200065300000,2,0
